route,generic_route,pred_1,pred_2,all_pred_2,consistency_2,pred_3,pred_4,all_pred_4,consistency_4,pred_5,pred_6,all_pred_6,consistency_6,pred_7,pred_8,all_pred_8,consistency_8,pred_9,pred_10,all_pred_10,consistency_10
PO/NG,"oral, nasogastric tube","oral, nasogastric tube","oral, nasogastric tube","['oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube']",1.0,"oral, nasogastric tube","oral, nasogastric tube","['oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube']",1.0,"oral, nasogastric tube","oral, nasogastric tube","['oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube']",1.0,"oral, nasogastric tube","oral, nasogastric tube","['oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube']",1.0,oral,oral,"['oral', 'oral', 'oral', 'oral', 'oral']",1.0
IV,intravenous,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0
IM,intramuscular,intramuscular,intramuscular,"['intramuscular', 'intramuscular', 'intramuscular', 'intramuscular', 'intramuscular']",1.0,intramuscular,intramuscular,"['intramuscular', 'intramuscular', 'intramuscular', 'intramuscular', 'intramuscular']",1.0,intramuscular,intramuscular,"['intramuscular', 'intramuscular', 'intramuscular', 'intramuscular', 'intramuscular']",1.0,intramuscular,intramuscular,"['intramuscular', 'intramuscular', 'intramuscular', 'intramuscular', 'intramuscular']",1.0,intramuscular,intramuscular,"['intramuscular', 'intramuscular', 'intramuscular', 'intramuscular', 'intramuscular']",1.0
PO/NG,"oral, nasogastric tube","oral, nasogastric tube","oral, nasogastric tube","['oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube']",1.0,"oral, nasogastric tube","oral, nasogastric tube","['oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube']",1.0,"oral, nasogastric tube","oral, nasogastric tube","['oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube']",1.0,"oral, nasogastric tube","oral, nasogastric tube","['oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube']",1.0,oral,oral,"['oral', 'oral', 'oral', 'oral', 'oral']",1.0
IV,intravenous,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0
PO,oral,oral,oral,"['oral', 'oral', 'oral', 'oral', 'oral']",1.0,oral,oral,"['oral', 'oral', 'oral', 'oral', 'oral']",1.0,oral,oral,"['oral', 'oral', 'oral', 'oral', 'oral']",1.0,oral,oral,"['oral', 'oral', 'oral', 'oral', 'oral']",1.0,oral,oral,"['oral', 'oral', 'oral', 'oral', 'oral']",1.0
PO/NG,"oral, nasogastric tube","oral, nasogastric tube","oral, nasogastric tube","['oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube']",1.0,"oral, nasogastric tube","oral, nasogastric tube","['oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube']",1.0,"oral, nasogastric tube","oral, nasogastric tube","['oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube']",1.0,"oral, nasogastric tube","oral, nasogastric tube","['oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube', 'oral, nasogastric tube']",1.0,oral,oral,"['oral', 'oral', 'oral', 'oral', 'oral']",1.0
IV,intravenous,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0
IV,intravenous,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0,intravenous,intravenous,"['intravenous', 'intravenous', 'intravenous', 'intravenous', 'intravenous']",1.0
IM,intramuscular,intramuscular,intramuscular,"['intramuscular', 'intramuscular', 'intramuscular', 'intramuscular', 'intramuscular']",1.0,intramuscular,intramuscular,"['intramuscular', 'intramuscular', 'intramuscular', 'intramuscular', 'intramuscular']",1.0,intramuscular,intramuscular,"['intramuscular', 'intramuscular', 'intramuscular', 'intramuscular', 'intramuscular']",1.0,intramuscular,intramuscular,"['intramuscular', 'intramuscular', 'intramuscular', 'intramuscular', 'intramuscular']",1.0,intramuscular,intramuscular,"['intramuscular', 'intramuscular', 'intramuscular', 'intramuscular', 'intramuscular']",1.0
